----------------------------------------ARGUMENTS----------------------------------------
data_path                                ./Data/Amazon/ToysAndGames/reviews_new.pickle
index_dir                                ./Data/Amazon/ToysAndGames/0/
lr                                       0.001
epochs                                   100
batch_size                               128
seed                                     1111
cuda                                     True
log_interval                             100
checkpoint                               ./Result/Amazon/ToysAndGames/PEPLER/0/
outf                                     generated_CP.txt
endure_times                             5
words                                    20
mode                                     Train+Test
----------------------------------------ARGUMENTS----------------------------------------
[23-01-15 13:24:23.64]: Loading data
[23-01-15 13:25:53.59]: Tuning Prompt Only
[23-01-15 13:25:53.59]: epoch 1
[23-01-15 13:26:16.82]: text ppl 348.7605 |   100/  773 batches
[23-01-15 13:26:39.82]: text ppl 350.8229 |   200/  773 batches
[23-01-15 13:27:02.81]: text ppl 328.1033 |   300/  773 batches
[23-01-15 13:27:25.97]: text ppl 317.8608 |   400/  773 batches
[23-01-15 13:27:49.17]: text ppl 318.9919 |   500/  773 batches
[23-01-15 13:28:12.39]: text ppl 307.2077 |   600/  773 batches
[23-01-15 13:28:35.73]: text ppl 291.1883 |   700/  773 batches
[23-01-15 13:28:52.74]: text ppl 281.3758 |   773/  773 batches
[23-01-15 13:28:59.37]: text ppl 179.3223 | valid loss 5.1892 on validation
[23-01-15 13:29:00.85]: epoch 2
[23-01-15 13:29:24.29]: text ppl 248.5944 |   100/  773 batches
[23-01-15 13:29:47.59]: text ppl 240.8821 |   200/  773 batches
[23-01-15 13:30:10.98]: text ppl 230.8218 |   300/  773 batches
[23-01-15 13:30:34.21]: text ppl 223.5766 |   400/  773 batches
[23-01-15 13:30:57.47]: text ppl 213.9485 |   500/  773 batches
[23-01-15 13:31:20.74]: text ppl 206.6691 |   600/  773 batches
[23-01-15 13:31:44.02]: text ppl 198.9471 |   700/  773 batches
[23-01-15 13:32:01.12]: text ppl 193.7580 |   773/  773 batches
[23-01-15 13:32:07.72]: text ppl 124.3642 | valid loss 4.8232 on validation
[23-01-15 13:32:09.26]: epoch 3
[23-01-15 13:32:32.59]: text ppl 181.1898 |   100/  773 batches
[23-01-15 13:32:55.87]: text ppl 174.8275 |   200/  773 batches
[23-01-15 13:33:19.16]: text ppl 169.0385 |   300/  773 batches
[23-01-15 13:33:42.36]: text ppl 167.4083 |   400/  773 batches
[23-01-15 13:34:05.62]: text ppl 161.5420 |   500/  773 batches
[23-01-15 13:34:28.83]: text ppl 155.6835 |   600/  773 batches
[23-01-15 13:34:52.18]: text ppl 151.1211 |   700/  773 batches
[23-01-15 13:35:09.14]: text ppl 147.2700 |   773/  773 batches
[23-01-15 13:35:15.74]: text ppl 93.7110 | valid loss 4.5402 on validation
[23-01-15 13:35:17.34]: epoch 4
[23-01-15 13:35:40.60]: text ppl 138.8826 |   100/  773 batches
[23-01-15 13:36:03.98]: text ppl 135.3706 |   200/  773 batches
[23-01-15 13:36:27.40]: text ppl 130.9379 |   300/  773 batches
[23-01-15 13:36:50.72]: text ppl 129.2810 |   400/  773 batches
[23-01-15 13:37:14.08]: text ppl 124.1367 |   500/  773 batches
[23-01-15 13:37:37.44]: text ppl 120.9709 |   600/  773 batches
[23-01-15 13:38:00.90]: text ppl 115.3729 |   700/  773 batches
[23-01-15 13:38:18.01]: text ppl 113.3602 |   773/  773 batches
[23-01-15 13:38:24.68]: text ppl 71.5970 | valid loss 4.2711 on validation
[23-01-15 13:38:26.28]: epoch 5
[23-01-15 13:38:49.76]: text ppl 107.8003 |   100/  773 batches
[23-01-15 13:39:13.24]: text ppl 105.1808 |   200/  773 batches
[23-01-15 13:39:36.57]: text ppl 102.5521 |   300/  773 batches
[23-01-15 13:39:59.80]: text ppl 100.4413 |   400/  773 batches
[23-01-15 13:40:23.20]: text ppl 97.4833 |   500/  773 batches
[23-01-15 13:40:46.55]: text ppl 95.3592 |   600/  773 batches
[23-01-15 13:41:09.95]: text ppl 92.9506 |   700/  773 batches
[23-01-15 13:41:26.86]: text ppl 90.7111 |   773/  773 batches
[23-01-15 13:41:33.53]: text ppl 57.1776 | valid loss 4.0462 on validation
[23-01-15 13:41:35.06]: epoch 6
[23-01-15 13:41:58.36]: text ppl 86.1939 |   100/  773 batches
[23-01-15 13:42:21.52]: text ppl 84.3916 |   200/  773 batches
[23-01-15 13:42:44.68]: text ppl 81.8447 |   300/  773 batches
[23-01-15 13:43:07.91]: text ppl 81.5552 |   400/  773 batches
[23-01-15 13:43:31.19]: text ppl 79.3737 |   500/  773 batches
[23-01-15 13:43:54.51]: text ppl 77.8890 |   600/  773 batches
[23-01-15 13:44:17.70]: text ppl 75.9870 |   700/  773 batches
[23-01-15 13:44:34.62]: text ppl 76.0285 |   773/  773 batches
[23-01-15 13:44:41.26]: text ppl 48.4436 | valid loss 3.8804 on validation
[23-01-15 13:44:42.76]: epoch 7
[23-01-15 13:45:06.14]: text ppl 72.1840 |   100/  773 batches
[23-01-15 13:45:29.51]: text ppl 69.9339 |   200/  773 batches
[23-01-15 13:45:52.89]: text ppl 69.2486 |   300/  773 batches
[23-01-15 13:46:16.26]: text ppl 68.6496 |   400/  773 batches
[23-01-15 13:46:39.47]: text ppl 67.5322 |   500/  773 batches
[23-01-15 13:47:02.89]: text ppl 66.6576 |   600/  773 batches
[23-01-15 13:47:26.30]: text ppl 64.9328 |   700/  773 batches
[23-01-15 13:47:43.35]: text ppl 64.5622 |   773/  773 batches
[23-01-15 13:47:50.02]: text ppl 42.6538 | valid loss 3.7531 on validation
[23-01-15 13:47:51.57]: epoch 8
[23-01-15 13:48:14.92]: text ppl 61.8752 |   100/  773 batches
[23-01-15 13:48:38.23]: text ppl 60.2005 |   200/  773 batches
[23-01-15 13:49:01.52]: text ppl 60.6020 |   300/  773 batches
[23-01-15 13:49:24.91]: text ppl 60.0335 |   400/  773 batches
[23-01-15 13:49:48.22]: text ppl 58.4135 |   500/  773 batches
[23-01-15 13:50:11.55]: text ppl 58.1343 |   600/  773 batches
[23-01-15 13:50:34.81]: text ppl 57.0488 |   700/  773 batches
[23-01-15 13:50:51.83]: text ppl 57.8472 |   773/  773 batches
[23-01-15 13:50:58.35]: text ppl 38.5230 | valid loss 3.6513 on validation
[23-01-15 13:50:59.94]: epoch 9
[23-01-15 13:51:23.27]: text ppl 54.5843 |   100/  773 batches
[23-01-15 13:51:46.54]: text ppl 53.6708 |   200/  773 batches
[23-01-15 13:52:09.76]: text ppl 53.1951 |   300/  773 batches
[23-01-15 13:52:32.99]: text ppl 53.6141 |   400/  773 batches
[23-01-15 13:52:56.36]: text ppl 52.7700 |   500/  773 batches
[23-01-15 13:53:19.62]: text ppl 52.4703 |   600/  773 batches
[23-01-15 13:53:42.83]: text ppl 51.7677 |   700/  773 batches
[23-01-15 13:53:59.82]: text ppl 51.0179 |   773/  773 batches
[23-01-15 13:54:06.46]: text ppl 35.4594 | valid loss 3.5684 on validation
[23-01-15 13:54:07.99]: epoch 10
[23-01-15 13:54:31.41]: text ppl 48.7867 |   100/  773 batches
[23-01-15 13:54:54.66]: text ppl 48.8024 |   200/  773 batches
[23-01-15 13:55:17.93]: text ppl 48.9012 |   300/  773 batches
[23-01-15 13:55:41.25]: text ppl 48.4874 |   400/  773 batches
[23-01-15 13:56:04.55]: text ppl 48.2121 |   500/  773 batches
[23-01-15 13:56:27.89]: text ppl 47.4499 |   600/  773 batches
[23-01-15 13:56:51.13]: text ppl 47.4095 |   700/  773 batches
[23-01-15 13:57:08.19]: text ppl 47.4876 |   773/  773 batches
[23-01-15 13:57:14.75]: text ppl 33.0579 | valid loss 3.4983 on validation
[23-01-15 13:57:16.36]: epoch 11
[23-01-15 13:57:39.75]: text ppl 45.2815 |   100/  773 batches
[23-01-15 13:58:03.05]: text ppl 45.0604 |   200/  773 batches
[23-01-15 13:58:26.27]: text ppl 44.9611 |   300/  773 batches
[23-01-15 13:58:49.63]: text ppl 44.5128 |   400/  773 batches
[23-01-15 13:59:12.97]: text ppl 44.3850 |   500/  773 batches
[23-01-15 13:59:36.31]: text ppl 44.3445 |   600/  773 batches
[23-01-15 13:59:59.61]: text ppl 43.8462 |   700/  773 batches
[23-01-15 14:00:16.72]: text ppl 43.6685 |   773/  773 batches
[23-01-15 14:00:23.39]: text ppl 31.1959 | valid loss 3.4403 on validation
[23-01-15 14:00:24.93]: epoch 12
[23-01-15 14:00:48.22]: text ppl 42.1585 |   100/  773 batches
[23-01-15 14:01:11.61]: text ppl 41.9714 |   200/  773 batches
[23-01-15 14:01:35.03]: text ppl 42.0606 |   300/  773 batches
[23-01-15 14:01:58.42]: text ppl 41.6223 |   400/  773 batches
[23-01-15 14:02:21.82]: text ppl 41.5678 |   500/  773 batches
[23-01-15 14:02:45.32]: text ppl 41.1623 |   600/  773 batches
[23-01-15 14:03:08.66]: text ppl 41.2580 |   700/  773 batches
[23-01-15 14:03:25.57]: text ppl 41.0063 |   773/  773 batches
[23-01-15 14:03:32.27]: text ppl 29.7072 | valid loss 3.3914 on validation
[23-01-15 14:03:33.85]: epoch 13
[23-01-15 14:03:57.37]: text ppl 39.4633 |   100/  773 batches
[23-01-15 14:04:20.69]: text ppl 39.0089 |   200/  773 batches
[23-01-15 14:04:44.08]: text ppl 39.0535 |   300/  773 batches
[23-01-15 14:05:07.46]: text ppl 39.4148 |   400/  773 batches
[23-01-15 14:05:30.81]: text ppl 39.2023 |   500/  773 batches
[23-01-15 14:05:54.18]: text ppl 39.5002 |   600/  773 batches
[23-01-15 14:06:17.53]: text ppl 39.2299 |   700/  773 batches
[23-01-15 14:06:34.53]: text ppl 38.6986 |   773/  773 batches
[23-01-15 14:06:41.18]: text ppl 28.4418 | valid loss 3.3479 on validation
[23-01-15 14:06:42.70]: epoch 14
[23-01-15 14:07:06.05]: text ppl 37.2113 |   100/  773 batches
[23-01-15 14:07:29.42]: text ppl 37.1214 |   200/  773 batches
[23-01-15 14:07:52.71]: text ppl 37.7287 |   300/  773 batches
[23-01-15 14:08:16.02]: text ppl 37.2512 |   400/  773 batches
[23-01-15 14:08:39.30]: text ppl 37.1713 |   500/  773 batches
[23-01-15 14:09:02.51]: text ppl 37.0265 |   600/  773 batches
