----------------------------------------ARGUMENTS----------------------------------------
data_path                                ./Data/Amazon/SportsAndOutdoors/reviews_new.pickle
index_dir                                ./Data/Amazon/SportsAndOutdoors/0/
lr                                       0.001
epochs                                   100
batch_size                               128
seed                                     1111
cuda                                     True
log_interval                             100
checkpoint                               ./Result/Amazon/SportsAndOutdoors/PEPLER/0/
outf                                     generated_CP.txt
endure_times                             5
words                                    20
mode                                     Train+Test
----------------------------------------ARGUMENTS----------------------------------------
[23-01-15 14:11:26.39]: Loading data
[23-01-15 14:12:59.23]: Tuning Prompt Only
[23-01-15 14:12:59.23]: epoch 1
[23-01-15 14:13:21.84]: text ppl 450.9456 |   100/  873 batches
[23-01-15 14:13:46.43]: text ppl 440.2297 |   200/  873 batches
[23-01-15 14:14:11.87]: text ppl 426.9235 |   300/  873 batches
[23-01-15 14:14:35.99]: text ppl 410.6042 |   400/  873 batches
[23-01-15 14:14:59.67]: text ppl 397.6263 |   500/  873 batches
[23-01-15 14:15:23.22]: text ppl 394.6351 |   600/  873 batches
[23-01-15 14:15:46.74]: text ppl 371.5001 |   700/  873 batches
[23-01-15 14:16:10.23]: text ppl 362.7139 |   800/  873 batches
[23-01-15 14:16:27.30]: text ppl 350.6752 |   873/  873 batches
[23-01-15 14:16:32.54]: text ppl 231.4894 | valid loss 5.4445 on validation
[23-01-15 14:16:33.92]: epoch 2
[23-01-15 14:16:57.20]: text ppl 311.0302 |   100/  873 batches
[23-01-15 14:17:20.58]: text ppl 296.6279 |   200/  873 batches
[23-01-15 14:17:43.97]: text ppl 289.9193 |   300/  873 batches
[23-01-15 14:18:07.37]: text ppl 283.0609 |   400/  873 batches
[23-01-15 14:18:31.03]: text ppl 272.1928 |   500/  873 batches
[23-01-15 14:18:54.38]: text ppl 261.2309 |   600/  873 batches
[23-01-15 14:19:17.84]: text ppl 253.8878 |   700/  873 batches
[23-01-15 14:19:41.37]: text ppl 249.9949 |   800/  873 batches
[23-01-15 14:19:58.39]: text ppl 245.2812 |   873/  873 batches
[23-01-15 14:20:03.65]: text ppl 158.3441 | valid loss 5.0648 on validation
[23-01-15 14:20:05.16]: epoch 3
[23-01-15 14:20:28.42]: text ppl 222.8595 |   100/  873 batches
[23-01-15 14:20:51.94]: text ppl 217.6947 |   200/  873 batches
[23-01-15 14:21:15.27]: text ppl 213.4693 |   300/  873 batches
[23-01-15 14:21:38.78]: text ppl 206.2125 |   400/  873 batches
[23-01-15 14:22:02.21]: text ppl 203.6930 |   500/  873 batches
[23-01-15 14:22:25.53]: text ppl 196.5526 |   600/  873 batches
[23-01-15 14:22:48.87]: text ppl 191.3858 |   700/  873 batches
[23-01-15 14:23:12.40]: text ppl 185.4877 |   800/  873 batches
[23-01-15 14:23:29.41]: text ppl 180.0199 |   873/  873 batches
[23-01-15 14:23:34.63]: text ppl 119.6639 | valid loss 4.7847 on validation
[23-01-15 14:23:36.15]: epoch 4
[23-01-15 14:23:59.48]: text ppl 170.3826 |   100/  873 batches
[23-01-15 14:24:22.90]: text ppl 164.8784 |   200/  873 batches
[23-01-15 14:24:46.25]: text ppl 163.7503 |   300/  873 batches
[23-01-15 14:25:09.81]: text ppl 158.1816 |   400/  873 batches
[23-01-15 14:25:33.09]: text ppl 154.4134 |   500/  873 batches
[23-01-15 14:25:56.58]: text ppl 152.8264 |   600/  873 batches
[23-01-15 14:26:20.01]: text ppl 148.0602 |   700/  873 batches
[23-01-15 14:26:43.37]: text ppl 146.4165 |   800/  873 batches
[23-01-15 14:27:00.28]: text ppl 142.2469 |   873/  873 batches
[23-01-15 14:27:05.53]: text ppl 94.2468 | valid loss 4.5459 on validation
[23-01-15 14:27:07.04]: epoch 5
[23-01-15 14:27:30.28]: text ppl 135.0577 |   100/  873 batches
[23-01-15 14:27:53.68]: text ppl 132.0332 |   200/  873 batches
[23-01-15 14:28:17.15]: text ppl 128.8264 |   300/  873 batches
[23-01-15 14:28:40.48]: text ppl 127.2092 |   400/  873 batches
[23-01-15 14:29:03.93]: text ppl 124.0158 |   500/  873 batches
[23-01-15 14:29:27.45]: text ppl 121.2096 |   600/  873 batches
[23-01-15 14:29:51.01]: text ppl 119.2342 |   700/  873 batches
[23-01-15 14:30:14.56]: text ppl 118.2162 |   800/  873 batches
[23-01-15 14:30:31.53]: text ppl 115.3088 |   873/  873 batches
[23-01-15 14:30:36.73]: text ppl 76.7056 | valid loss 4.3400 on validation
[23-01-15 14:30:38.22]: epoch 6
[23-01-15 14:31:01.42]: text ppl 109.2811 |   100/  873 batches
[23-01-15 14:31:24.68]: text ppl 106.5060 |   200/  873 batches
[23-01-15 14:31:48.01]: text ppl 105.6986 |   300/  873 batches
[23-01-15 14:32:11.24]: text ppl 104.8500 |   400/  873 batches
[23-01-15 14:32:34.73]: text ppl 101.8863 |   500/  873 batches
[23-01-15 14:32:58.19]: text ppl 99.6707 |   600/  873 batches
[23-01-15 14:33:21.49]: text ppl 98.0053 |   700/  873 batches
[23-01-15 14:33:44.93]: text ppl 98.1872 |   800/  873 batches
[23-01-15 14:34:01.92]: text ppl 95.7337 |   873/  873 batches
[23-01-15 14:34:07.13]: text ppl 64.1222 | valid loss 4.1608 on validation
[23-01-15 14:34:08.66]: epoch 7
[23-01-15 14:34:31.87]: text ppl 91.0903 |   100/  873 batches
[23-01-15 14:34:55.32]: text ppl 89.2549 |   200/  873 batches
[23-01-15 14:35:18.55]: text ppl 86.7978 |   300/  873 batches
[23-01-15 14:35:42.01]: text ppl 86.7837 |   400/  873 batches
[23-01-15 14:36:05.38]: text ppl 86.4390 |   500/  873 batches
[23-01-15 14:36:28.74]: text ppl 85.2731 |   600/  873 batches
[23-01-15 14:36:52.10]: text ppl 83.3051 |   700/  873 batches
[23-01-15 14:37:15.37]: text ppl 83.3843 |   800/  873 batches
[23-01-15 14:37:32.33]: text ppl 82.5813 |   873/  873 batches
[23-01-15 14:37:37.52]: text ppl 55.1389 | valid loss 4.0099 on validation
[23-01-15 14:37:39.04]: epoch 8
[23-01-15 14:38:02.18]: text ppl 77.4766 |   100/  873 batches
[23-01-15 14:38:25.40]: text ppl 76.8457 |   200/  873 batches
[23-01-15 14:38:48.81]: text ppl 74.8610 |   300/  873 batches
[23-01-15 14:39:12.37]: text ppl 75.5141 |   400/  873 batches
[23-01-15 14:39:35.76]: text ppl 73.7059 |   500/  873 batches
