epoch,train_context_loss,train_text_loss,train_rating_loss,train_loss,val_context_loss,val_text_loss,val_rating_loss,val_loss
1,742.8602699756052,190.71053226351168,1.700957,933.7409,612.0404160712692,99.02628116005427,1.572327627173682,711.2239299940409
2,603.3688871403247,92.21754188772275,1.3985577,695.72626,590.3436420489638,76.84401516075616,1.3016795237011174,667.3178251620901
3,574.5209745426362,75.13892989207733,1.1752024,649.7774,584.4113451483931,68.30071968804148,1.1103884186823314,652.8231036783028
4,555.3249152021314,66.36706471541211,1.0242581,621.7944,551.4819101513012,61.2870136125185,1.0200087247139962,612.8709246362912
5,538.0907824443337,60.59727676678081,0.96758354,598.7848,542.3822483584918,57.720269683648915,1.0935124788552553,600.2118692900262
6,522.8025769281045,56.268515688942784,0.9425053,579.16534,534.4314716897072,55.504536256743975,0.9919208961823516,590.0352000360695
7,509.80453406393246,52.897868584600644,0.92363995,562.79474,524.139662074321,53.08302923191944,1.0472312050577972,577.3274144267463
8,498.2291178118873,50.170117400751124,0.91252494,548.4905,522.8244403878107,52.03245735240933,0.9959689266350984,574.9564946328835
9,487.70123142205523,47.902859297509806,0.90268636,535.69434,519.385141609435,51.59015533702103,1.004836217901524,571.0757805682462
10,477.87089912734507,45.93652233449467,0.8926713,523.8967,507.7866963811585,49.41037569789049,1.0244291942172785,557.2995149984707
11,468.9604410082293,44.24129135054444,0.8852485,513.2902,509.5691960809889,48.63231139544151,1.0655097162226355,558.3080584480526
12,442.8367360330798,38.266173118389815,0.8413384,481.18704,497.4900009065238,45.57373967080548,0.9668166468145776,543.1604222420108
13,436.5730216664769,36.856458524539434,0.8332626,473.5128,496.7993151034953,45.116576862993746,0.97687912944679,542.0135798794338
14,432.2994415043275,36.126945289801995,0.8263624,468.50903,496.82394383552526,44.96284251285829,0.9784135423506728,541.8846277026186
15,428.3625438259406,35.49370965001383,0.8239495,463.93866,496.0783553308563,44.855709843119364,0.971983742922053,541.0312635482679
16,424.59388858664005,34.93207715609425,0.82011086,459.60797,495.0830691816784,44.744306083378156,0.9672006843161745,539.9240953334883
17,421.1828146302363,34.45304122221731,0.8185763,455.7177,495.6440538748081,44.58338441548381,0.9717625387887372,540.3246145441708
18,412.50910642289006,33.01530919164852,0.80654883,445.60507,496.31825831364347,44.320884432720426,0.9728243307045198,540.7364251794343
19,409.7232569936699,32.490585015293576,0.8013314,442.29398,496.66880886991197,44.19237240352714,0.9771352435407075,540.9588947977932
20,409.0302756678318,32.36736553545547,0.7998795,441.47763,496.4768056430993,44.17056921985524,0.9756700080303632,540.7449418637575
