Model    ,Dataset       ,Split_ID ,TestTime        ,Seed ,RMSE↓ ,MAE↓ ,DIV↓ ,USR↑ ,USN↑  ,FCR↑ ,FMR↑ ,BLEU_1↑ ,BLEU_4↑ ,R1_F↑ ,R1_P↑ ,R1_R↑ ,R2_F↑ ,R2_P↑ ,R2_R↑ ,RL_F↑ ,RL_P↑ ,RL_R↑ ,HistLen ,TextLen ,Batch_size ,Optimizer ,LR   ,Total_Epoch ,Train_Time ,Epoch_Time ,Num_GPU ,GPU_ID
fmlpeter ,amazon-movies ,       0 ,2023/1/11 09:11 ,     , 1.07 ,0.83 ,1.34 ,0.27 ,11097 ,0.36 ,0.8  ,  19.06 ,   2.59 ,26.24 ,35.2  ,23.55 , 6.42 , 8.68 , 5.94 ,19.75 ,28.58 ,21.15 ,     20 ,     15 ,       128 ,AdamW     ,0    ,            ,           ,           ,      4 ,     0
fmlpeter ,amazon-movies ,       0 ,2023/1/11 09:28 ,     , 1.07 ,0.83 ,1.34 ,0.27 ,11097 ,0.36 ,0.8  ,  19.06 ,   2.59 ,26.24 ,35.2  ,23.55 , 6.42 , 8.68 , 5.94 ,19.75 ,28.58 ,21.15 ,     20 ,     15 ,       128 ,AdamW     ,0    ,            ,           ,           ,      4 ,     0
fmlpeter ,amazon-movies ,       0 ,2023/1/11 09:57 ,     , 1.08 ,0.83 ,1.26 ,0.26 ,10908 ,0.36 ,0.8  ,  18.32 ,   2.62 ,26.31 ,36    ,23.23 , 6.45 , 8.85 , 5.89 ,19.82 ,29.23 ,20.93 ,     20 ,     15 ,       128 ,AdamW     ,0    ,         14 ,    959.71 ,     68.55 ,      4 ,     0
peter    ,amazon-movies ,       0 ,2023/1/11 10:12 ,     , 0.98 ,0.74 ,1.28 ,0.29 ,11905 ,0.19 ,0.77 ,  18.86 ,   2.77 ,25.97 ,35.06 ,23.27 , 6.38 , 8.74 , 5.84 ,19.5  ,28.39 ,20.76 ,      0 ,     15 ,       128 ,SGD       ,1    ,            ,           ,           ,      4 ,     0
fmlpeter ,amazon-movies ,       0 ,2023/1/11 10:27 ,     , 1.08 ,0.83 ,1.26 ,0.26 ,10908 ,0.36 ,0.8  ,  18.32 ,   2.62 ,26.31 ,36    ,23.23 , 6.45 , 8.85 , 5.89 ,19.82 ,29.23 ,20.93 ,     20 ,     15 ,       128 ,AdamW     ,0    ,         14 ,    931.02 ,     66.5  ,      4 ,     0
peter    ,amazon-movies ,       0 ,2023/1/11 10:37 ,     , 0.99 ,0.72 ,1.48 ,0.36 ,14932 ,0.24 ,0.75 ,  19.92 ,   2.74 ,25.82 ,33.84 ,23.55 , 6.21 , 8.13 , 5.87 ,19.33 ,26.23 ,21.16 ,      0 ,     15 ,       128 ,AdamW     ,0    ,          9 ,    293.84 ,     32.65 ,      4 ,     0
fmlpeter ,amazon-movies ,       0 ,2023/1/11 11:12 ,     , 1.08 ,0.81 ,1.48 ,0.24 , 9717 ,0.22 ,0.77 ,  18.84 ,   2.36 ,25.16 ,33.06 ,22.9  , 5.81 , 7.79 , 5.42 ,18.85 ,26.49 ,20.46 ,     20 ,     15 ,       128 ,AdamW     ,0    ,          9 ,    361.88 ,     40.21 ,      4 ,     0
fmlpeter ,amazon-movies ,       0 ,2023/1/11 11:51 ,     , 1.08 ,0.82 ,1.38 ,0.26 ,10825 ,0.24 ,0.77 ,  18.61 ,   2.41 ,25.61 ,34.6  ,22.88 , 6.07 , 8.35 , 5.56 ,19.02 ,27.6  ,20.46 ,     20 ,     15 ,       128 ,SGD       ,0    ,         10 ,    249.61 ,     24.96 ,      4 ,     0
fmlpeter ,amazon-movies ,       0 ,2023/1/11 18:33 ,     , 1.08 ,0.85 ,1.2  ,0.11 , 4585 ,0.16 ,0.81 ,  17.73 ,   2.41 ,25.98 ,36.75 ,22.6  , 6.3  , 8.9  , 5.64 ,19.24 ,28.8  ,20.39 ,     20 ,     15 ,       128 ,SGD       ,0.02 ,         34 ,    379.83 ,     11.17 ,      4 ,     0
fmlpeter ,amazon-movies ,       0 ,2023/1/12 08:11 ,     , 1.08 ,0.85 ,1.2  ,0.11 , 4585 ,0.16 ,0.81 ,  17.73 ,   2.41 ,25.98 ,36.75 ,22.6  , 6.3  , 8.9  , 5.64 ,19.24 ,28.8  ,20.39 ,     20 ,     15 ,       128 ,SGD       ,0.02 ,         34 ,    376.32 ,     11.07 ,      4 ,     0
fmlpeter ,amazon-movies ,       0 ,2023/1/13 11:41 ,     , 1    ,0.76 ,1.27 ,0.18 , 7506 ,0.15 ,0.78 ,  18.14 ,   2.62 ,25.91 ,35.41 ,23.08 , 6.3  , 8.77 , 5.71 ,19.42 ,29.05 ,20.49 ,     20 ,     15 ,       128 ,SGD       ,1    ,         41 ,   1606.4  ,     39.18 ,      4 ,     0
